index	sheet	BMS	UNOCF	TC	status
0	To psi(I)	Empty Matrix	0	0	verified
1	To psi(I)	(0)	psi(0)=1	C(0,0)	verified
2	To psi(I)	(0)(0)	2	C(0,C(0,0))	verified
3	To psi(I)	(0)(0)(0)	3	C(0,C(0,C(0,0)))	verified
4	To psi(I)	(0)(0)(0)(0)	4	C(0,C(0,C(0,C(0,0))))	verified
5	To psi(I)	(0)(0)(0)(0)(0)	5	C(0,C(0,C(0,C(0,C(0,0)))))	verified
6	To psi(I)	(0)(1)	psi(1)=w	C(C(0,0),0)	verified
7	To psi(I)	(0)(1)(0)	w+1	C(0,C(C(0,0),0))	verified
8	To psi(I)	(0)(1)(0)(0)	w+2	C(0,C(0,C(C(0,0),0)))	verified
9	To psi(I)	(0)(1)(0)(0)(0)	w+3	C(0,C(0,C(0,C(C(0,0),0))))	verified
10	To psi(I)	(0)(1)(0)(1)	w2	C(C(0,0),C(C(0,0),0))	verified
11	To psi(I)	(0)(1)(0)(1)(0)	w2+1	C(0,C(C(0,0),C(C(0,0),0)))	verified
12	To psi(I)	(0)(1)(0)(1)(0)(1)	w3	C(C(0,0),C(C(0,0),C(C(0,0),0)))	verified
13	To psi(I)	(0)(1)(1)	w^2 = psi(2)	C(C(0,C(0,0)),0)	verified
14	To psi(I)	(0)(1)(1)(0)	w^2+1	C(0,C(C(0,C(0,0)),0))	verified
15	To psi(I)	(0)(1)(1)(0)(1)	w^2+w	C(C(0,0),C(C(0,C(0,0)),0))	verified
16	To psi(I)	(0)(1)(1)(0)(1)(1)	w^2*2	C(C(0,C(0,0)),C(C(0,C(0,0)),0))	verified
17	To psi(I)	(0)(1)(1)(1)	w^3 = psi(3)	C(C(0,C(0,C(0,0))),0)	verified
18	To psi(I)	(0)(1)(2)	psi(w)	C(C(C(0,0),0),0)	verified
19	To psi(I)	(0)(1)(2)(0)	w^w+1	C(0,C(C(C(0,0),0),0))	verified
20	To psi(I)	(0)(1)(2)(0)(1)	w^w+2	C(C(0,0),C(C(C(0,0),0),0))	verified
21	To psi(I)	(0)(1)(2)(0)(1)(1)	w^w+w^2	C(C(0,C(0,0)),C(C(C(0,0),0),0))	verified
22	To psi(I)	(0)(1)(2)(0)(1)(2)	w^w*2	C(C(C(0,0),0),C(C(C(0,0),0),0))	verified
23	To psi(I)	(0)(1)(2)(1)	w^(w+1) = psi(w+1)	C(C(0,C(C(0,0),0)),0)	verified
24	To psi(I)	(0)(1)(2)(1)(1)	w^(w+2) = psi(w+2)	C(C(0,C(0,C(C(0,0),0))),0)	verified
25	To psi(I)	(0)(1)(2)(1)(2)	w^(w2) = psi(w2)	C(C(C(0,0),C(C(0,0),0)),0)	verified
26	To psi(I)	(0)(1)(2)(2)	w^w^2 = psi(psi(2))	C(C(C(0,C(0,0)),0),0)	verified
27	To psi(I)	(0)(1)(2)(3)	w^w^w = psi(psi(w))	C(C(C(C(0,0),0),0),0)	verified
28	To psi(I)	(0)(1)(2)(3)(4)	w^w^w^w = psi(psi(psi(w)))	C(C(C(C(C(0,0),0),0),0),0)	verified
29	To psi(I)	(0,0)(1,1)	psi(W)	C(Ω_1,0)	verified
30	To psi(I)	(0,0)(1,1)(0,0)	e0+1	C(0,C(Ω_1,0))	verified
31	To psi(I)	(0,0)(1,1)(0,0)(1,0)	e0+w	C(C(0,0),C(Ω_1,0))	verified
32	To psi(I)	(0,0)(1,1)(0,0)(1,0)(2,0)	e0+w^w	C(C(C(0,0),0),C(Ω_1,0))	verified
33	To psi(I)	(0,0)(1,1)(0,0)(1,1)	e0*2	C(C(Ω_1,0),C(Ω_1,0))	verified
